0.0	87.0	86.0	99.0	99.0
0.004	101.0	103.0	104.0	91.0
0.008	108.0	110.0	88.0	93.0
0.012	75.0	94.0	85.0	111.0
0.016	113.0	92.0	86.0	91.0
0.02	115.0	108.0	82.0	106.0
0.024	95.0	89.0	91.0	101.0
0.027999999999999997	75.0	107.0	97.0	81.0
0.032	100.0	93.0	109.0	102.0
0.036000000000000004	98.0	104.0	87.0	94.0
0.04	93.0	94.0	110.0	85.0
0.044000000000000004	75.0	125.0	105.0	90.0
0.048	100.0	85.0	107.0	85.0
0.052000000000000005	97.0	97.0	78.0	107.0
0.055999999999999994	85.0	103.0	82.0	92.0
0.06	81.0	97.0	94.0	90.0
0.064	102.0	100.0	99.0	105.0
0.068	96.0	94.0	94.0	91.0
0.07200000000000001	97.0	113.0	99.0	101.0
0.076	89.0	107.0	79.0	95.0
0.08	86.0	93.0	99.0	106.0
0.084	85.0	79.0	103.0	122.0
0.08800000000000001	97.0	91.0	100.0	99.0
0.092	74.0	93.0	97.0	97.0
0.096	101.0	101.0	92.0	111.0
0.1	104.0	90.0	86.0	104.0
0.10400000000000001	88.0	91.0	97.0	100.0
0.10800000000000001	80.0	78.0	88.0	113.0
0.11199999999999999	80.0	89.0	106.0	105.0
0.11599999999999999	102.0	92.0	92.0	95.0
0.12	84.0	105.0	104.0	111.0
0.124	88.0	91.0	89.0	100.0
0.128	95.0	93.0	92.0	91.0
0.132	91.0	99.0	86.0	91.0
0.136	98.0	106.0	94.0	81.0
0.14	74.0	94.0	98.0	90.0
0.14400000000000002	97.0	90.0	96.0	98.0
0.14800000000000002	102.0	105.0	87.0	88.0
0.152	78.0	110.0	105.0	108.0
0.156	91.0	79.0	88.0	100.0
0.16	107.0	93.0	108.0	93.0
0.16399999999999998	98.0	83.0	99.0	94.0
0.168	90.0	99.0	80.0	90.0
0.172	85.0	90.0	101.0	96.0
0.17600000000000002	86.0	85.0	87.0	102.0
0.18	86.0	73.0	122.0	107.0
0.184	87.0	95.0	88.0	95.0
0.188	96.0	106.0	94.0	82.0
0.192	82.0	94.0	99.0	77.0
0.196	96.0	112.0	94.0	94.0
0.2	98.0	89.0	105.0	108.0
0.204	102.0	82.0	109.0	103.0
0.20800000000000002	104.0	81.0	98.0	97.0
0.212	91.0	95.0	98.0	94.0
0.21600000000000003	77.0	94.0	105.0	94.0
0.22	88.0	72.0	97.0	89.0
0.22399999999999998	88.0	88.0	90.0	106.0
0.228	85.0	99.0	89.0	102.0
0.23199999999999998	101.0	104.0	83.0	90.0
0.23600000000000002	92.0	91.0	108.0	88.0
0.24	84.0	94.0	95.0	103.0
0.244	92.0	93.0	104.0	96.0
0.248	88.0	105.0	69.0	93.0
0.252	86.0	95.0	87.0	99.0
0.256	110.0	110.0	84.0	102.0
0.26	81.0	85.0	114.0	91.0
0.264	85.0	110.0	98.0	93.0
0.268	93.0	115.0	105.0	105.0
0.272	84.0	95.0	110.0	98.0
0.276	87.0	98.0	111.0	102.0
0.28	88.0	90.0	96.0	88.0
0.284	86.0	87.0	106.0	88.0
0.28800000000000003	95.0	102.0	111.0	92.0
0.292	106.0	85.0	91.0	98.0
0.29600000000000004	110.0	98.0	112.0	103.0
0.3	74.0	87.0	103.0	91.0
0.304	81.0	83.0	88.0	98.0
0.308	85.0	98.0	92.0	87.0
